symbol,group,organ_name,icb_name3,icb_name2,icb_name4,com_type_code,icb_code1,icb_code2,icb_code3,icb_code4
ACB,VN30,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,Ngân hàng,Ngân hàng,NH,8301,8300,8350,8355
BCM,VN30,Tập đoàn Đầu tư và Phát triển Công nghiệp Becamex - CTCP,Bất động sản,Bất động sản,Bất động sản,CT,8000,8600,8630,8633
BID,VN30,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Ngân hàng,Ngân hàng,Ngân hàng,NH,8301,8300,8350,8355
CTG,VN30,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,Ngân hàng,Ngân hàng,Ngân hàng,NH,8301,8300,8350,8355
DGC,VN30,Công ty Cổ phần Tập đoàn Hóa chất Đức Giang,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",CT,1000,1300,1350,1357
FPT,VN30,Công ty Cổ phần FPT,Phần mềm & Dịch vụ Máy tính,Công nghệ Thông tin,Phần mềm,CT,9000,9500,9530,9537
GAS,VN30,Tổng Công ty Khí Việt Nam - Công ty Cổ phần,Nước & Khí đốt,"Điện, nước & xăng dầu khí đốt",Phân phối xăng dầu & khí đốt,CT,7000,7500,7570,7573
GVR,VN30,Tập đoàn Công nghiệp Cao su Việt Nam - Công ty Cổ phần,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",CT,1000,1300,1350,1353
HDB,VN30,Ngân hàng Thương mại Cổ phần Phát Triển Thành phố Hồ Chí Minh,Ngân hàng,Ngân hàng,Ngân hàng,NH,8301,8300,8350,8355
HPG,VN30,Công ty Cổ phần Tập đoàn Hòa Phát,Kim loại,Tài nguyên Cơ bản,Thép và sản phẩm thép,CT,1000,1700,1750,1757
LPB,VN30,Ngân hàng Thương mại Cổ phần Lộc Phát Việt Nam,Ngân hàng,Ngân hàng,Ngân hàng,NH,8301,8300,8350,8355
MBB,VN30,Ngân hàng Thương mại Cổ phần Quân đội,Ngân hàng,Ngân hàng,Ngân hàng,NH,8301,8300,8350,8355
MSN,VN30,Công ty Cổ phần Tập đoàn Masan,Sản xuất thực phẩm,Thực phẩm và đồ uống,Thực phẩm,CT,3000,3500,3570,3577
MWG,VN30,Công ty Cổ phần Đầu tư Thế Giới Di Động,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,CT,5000,5300,5370,5379
PLX,VN30,Tập đoàn Xăng dầu Việt Nam,Sản xuất Dầu khí,Dầu khí,Sản xuất và Khai thác dầu khí,CT,0001,0500,0530,0533
SAB,VN30,Tổng Công ty Cổ phần Bia - Rượu - Nước Giải khát Sài Gòn,Bia và đồ uống,Thực phẩm và đồ uống,Sản xuất bia,CT,3000,3500,3530,3533
SHB,VN30,Ngân hàng Thương mại Cổ phần Sài Gòn – Hà Nội,Ngân hàng,Ngân hàng,Ngân hàng,NH,8301,8300,8350,8355
SSB,VN30,Ngân hàng Thương mại Cổ phần Đông Nam Á,Ngân hàng,Ngân hàng,Ngân hàng,NH,8301,8300,8350,8355
SSI,VN30,Công ty Cổ phần Chứng khoán SSI,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,CK,8000,8700,8770,8777
STB,VN30,Ngân hàng Thương mại Cổ phần Sài Gòn Thương Tín,Ngân hàng,Ngân hàng,Ngân hàng,NH,8301,8300,8350,8355
TCB,VN30,Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam,Ngân hàng,Ngân hàng,Ngân hàng,NH,8301,8300,8350,8355
TPB,VN30,Ngân hàng Thương mại Cổ phần Tiên Phong,Ngân hàng,Ngân hàng,Ngân hàng,NH,8301,8300,8350,8355
